"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Rizzardini R.H.; Amado-Salvatierra H.R.","Rizzardini, Rocael Hernández (55918790500); Amado-Salvatierra, Hector R. (52663094800)","55918790500; 52663094800","Full engagement educational framework: A practical experience for a micromaster","2017","L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale","","","","145","146","1","7","10.1145/3051457.3053969","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018436406&doi=10.1145%2f3051457.3053969&partnerID=40&md5=0b5cc7d0c6af60f4e89c259ea9e40591","Conference paper","Final","","Scopus","2-s2.0-85018436406"
"Irish I.; Chatterjee S.; Tailor C.; Finkelberg R.; Arriaga R.; Starner T.","Irish, India (57188553681); Chatterjee, Saurabh (57478488200); Tailor, Chirag (57195435743); Finkelberg, Roy (57210736022); Arriaga, Rosa (6602498748); Starner, Thad (7003469397)","57188553681; 57478488200; 57195435743; 57210736022; 6602498748; 7003469397","Post Recommendation System Impact on Student Participation and Performance in an Online AI Graduate Course","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","24","34","10","3","10.1145/3491140.3528280","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132199275&doi=10.1145%2f3491140.3528280&partnerID=40&md5=0a168f394f445e3f4d1115a2ae3c7d73","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85132199275"
"Halimi W.; Salzmann C.; Gillet D.","Halimi, Wissam (56514160400); Salzmann, Christophe (7004272320); Gillet, Denis (57203238151)","56514160400; 7004272320; 57203238151","Access to massive open online labs through a MOOC","2017","L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale","","","","331","334","3","5","10.1145/3051457.3054017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018451247&doi=10.1145%2f3051457.3054017&partnerID=40&md5=e9d8cb154872f8d004821e2f08c133de","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85018451247"
"Sharrock R.; Hamonic E.; Hiron M.; Carlier S.","Sharrock, Rémi (35184076100); Hamonic, Ella (57193406317); Hiron, Mathias (55835439900); Carlier, Sebastien (57194032645)","35184076100; 57193406317; 55835439900; 57194032645","CODECAST: An innovative technology to facilitate teaching and learning computer programming in a c language online course","2017","L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale","","","","147","148","1","9","10.1145/3051457.3053970","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018456498&doi=10.1145%2f3051457.3053970&partnerID=40&md5=aa8e9f772f3d48d5e452920a18f464d2","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85018456498"
"Yee M.; Roy A.; Stein J.; Perdue M.; Bell A.; Carter R.; Miyagawa S.","Yee, Michael (23479017000); Roy, Anindya (57672326500); Stein, Julius (57746675800); Perdue, Meghan (57218225588); Bell, Ana (57215551299); Carter, Ronisha (57748618700); Miyagawa, Shigeru (7201867694)","23479017000; 57672326500; 57746675800; 57218225588; 57215551299; 57748618700; 7201867694","The Relationship Between COVID-19 Severity and Computer Science MOOC Learner Achievement: A Preliminary Analysis","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","431","435","4","0","10.1145/3491140.3528325","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132158298&doi=10.1145%2f3491140.3528325&partnerID=40&md5=a8d0fac6a8bda050c73c6c5be5dc038c","Conference paper","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85132158298"
"Corlatescu D.; Ruseti S.; Toma I.; Dascalu M.","Corlatescu, Dragos (57200423109); Ruseti, Stefan (57188672704); Toma, Irina (57188660776); Dascalu, Mihai (24831962300)","57200423109; 57188672704; 57188660776; 24831962300","Where are the Large N Studies in Education? Introducing a Dataset of Scientific Articles and NLP Techniques","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","461","465","4","0","10.1145/3491140.3528315","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132167951&doi=10.1145%2f3491140.3528315&partnerID=40&md5=9c4b75fb9916d072e4b278f833248a26","Conference paper","Final","","Scopus","2-s2.0-85132167951"
"Su M.; Olson L.A.; Jarratt D.C.; Varma S.; Konstan J.A.; Keller R.J.L.; Chen B.","Su, Mengchen (57221441140); Olson, Lukas A. (57217057617); Jarratt, Daniel C. (56801695800); Varma, Sashank (57747328100); Konstan, Joseph A. (7003985614); Keller, Rebecca J. L. (57748939000); Chen, Bodong (55286416400)","57221441140; 57217057617; 56801695800; 57747328100; 7003985614; 57748939000; 55286416400","Re-envisioning a K-12 Early Warning System with School Climate Factors","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","405","408","3","0","10.1145/3491140.3528670","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132202802&doi=10.1145%2f3491140.3528670&partnerID=40&md5=31f93d3d0338c16ee8e434581db08745","Conference paper","Final","","Scopus","2-s2.0-85132202802"
"Tulha C.N.; Carvalho M.A.G.; De Castro L.N.","Tulha, Carinna Nunes (57211190131); Carvalho, Marco Antonio G. (7101893707); De Castro, Leandro N. (56912991300)","57211190131; 7101893707; 56912991300","LEDA: A Learning Analytics Based Framework to Analyze Remote Labs Interaction","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","379","383","4","2","10.1145/3491140.3528324","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132185029&doi=10.1145%2f3491140.3528324&partnerID=40&md5=23c876dd5650c7a3514f79804118e4d4","Conference paper","Final","","Scopus","2-s2.0-85132185029"
"Li Y.; Chen C.-Y.; Yu D.; Davidson S.; Hou R.; Yuan X.; Tan Y.; Pham D.; Yu Z.","Li, Yu (57219751720); Chen, Chun-Yen (57219173330); Yu, Dian (57216694167); Davidson, Sam (57216690541); Hou, Ryan (57552608700); Yuan, Xun (57384627900); Tan, Yinghua (57747325300); Pham, Derek (57385551000); Yu, Zhou (57205750897)","57219751720; 57219173330; 57216694167; 57216690541; 57552608700; 57384627900; 57747325300; 57385551000; 57205750897","Using Chatbots to Teach Languages","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","451","455","4","3","10.1145/3491140.3528329","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132144277&doi=10.1145%2f3491140.3528329&partnerID=40&md5=2721491e069bf8ebea50bf304cd1a067","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85132144277"
"Yang H.; Alozie N.; Rachmatullah A.","Yang, Hui (57484393400); Alozie, Nonye (35812109300); Rachmatullah, Arif (57190941282)","57484393400; 35812109300; 57190941282","Collaboration at Scale: Exploring Member Role Changing Patterns in Collaborative Science Problem-solving Tasks","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","309","312","3","0","10.1145/3491140.3528319","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132176684&doi=10.1145%2f3491140.3528319&partnerID=40&md5=5dae2c475b4843bff0159fe1de29a29f","Conference paper","Final","","Scopus","2-s2.0-85132176684"
