,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID,Author 1 First Name,Author 1 Last Name,Author 1 ID,Author 2 First Name,Author 2 Last Name,Author 2 ID,Author 3 First Name,Author 3 Last Name,Author 3 ID,Author 4 First Name,Author 4 Last Name,Author 4 ID,Author 5 First Name,Author 5 Last Name,Author 5 ID,Author 6 First Name,Author 6 Last Name,Author 6 ID,Author 7 First Name,Author 7 Last Name,Author 7 ID,Author 8 First Name,Author 8 Last Name,Author 8 ID,Author 9 First Name,Author 9 Last Name,Author 9 ID,Author 10 First Name,Author 10 Last Name,Author 10 ID,Author 11 First Name,Author 11 Last Name,Author 11 ID,Author 12 First Name,Author 12 Last Name,Author 12 ID,Author 2 Affiliation,Author 2 Country,Author 3 Affiliation,Author 3 Country,Author 4 Affiliation,Author 4 Country,Author 5 Affiliation,Author 5 Country,Author 6 Affiliation,Author 6 Country,Author 7 Affiliation,Author 7 Country,Author 8 Affiliation,Author 8 Country,Author 9 Affiliation,Author 9 Country,Author 10 Affiliation,Author 10 Country,Author 11 Affiliation,Author 11 Country,Author 12 Affiliation,Author 12 Country
0,55918790500; 52663094800,Full engagement educational framework: A practical experience for a micromaster,2017,L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale,,,,145,146,1.0,7,10.1145/3051457.3053969,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018436406&doi=10.1145%2f3051457.3053969&partnerID=40&md5=0b5cc7d0c6af60f4e89c259ea9e40591,Conference paper,Final,,Scopus,2-s2.0-85018436406,Rocael Hernández,Rizzardini,55918790500,Hector R.,Amado-Salvatierra,52663094800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Universidad Galileo,Guatemala,,,,,,,,,,,,,,,,,,,,
1,57188553681; 57478488200; 57195435743; 57210736022; 6602498748; 7003469397,Post Recommendation System Impact on Student Participation and Performance in an Online AI Graduate Course,2022,L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale,,,,24,34,10.0,3,10.1145/3491140.3528280,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132199275&doi=10.1145%2f3491140.3528280&partnerID=40&md5=0a168f394f445e3f4d1115a2ae3c7d73,Conference paper,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85132199275,India,Irish,57188553681,Saurabh,Chatterjee,57478488200,Chirag,Tailor,57195435743,Roy,Finkelberg,57210736022,Rosa,Arriaga,6602498748,Thad,Starner,7003469397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,56514160400; 7004272320; 57203238151,Access to massive open online labs through a MOOC,2017,L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale,,,,331,334,3.0,5,10.1145/3051457.3054017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018451247&doi=10.1145%2f3051457.3054017&partnerID=40&md5=e9d8cb154872f8d004821e2f08c133de,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85018451247,Wissam,Halimi,56514160400,Christophe,Salzmann,7004272320,Denis,Gillet,57203238151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,35184076100; 57193406317; 55835439900; 57194032645,CODECAST: An innovative technology to facilitate teaching and learning computer programming in a c language online course,2017,L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale,,,,147,148,1.0,9,10.1145/3051457.3053970,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018456498&doi=10.1145%2f3051457.3053970&partnerID=40&md5=aa8e9f772f3d48d5e452920a18f464d2,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85018456498,Rémi,Sharrock,35184076100,Ella,Hamonic,57193406317,Mathias,Hiron,55835439900,Sebastien,Carlier,57194032645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,23479017000; 57672326500; 57746675800; 57218225588; 57215551299; 57748618700; 7201867694,The Relationship Between COVID-19 Severity and Computer Science MOOC Learner Achievement: A Preliminary Analysis,2022,L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale,,,,431,435,4.0,0,10.1145/3491140.3528325,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132158298&doi=10.1145%2f3491140.3528325&partnerID=40&md5=a8d0fac6a8bda050c73c6c5be5dc038c,Conference paper,Final,All Open Access; Bronze Open Access; Green Open Access,Scopus,2-s2.0-85132158298,Michael,Yee,23479017000,Anindya,Roy,57672326500,Julius,Stein,57746675800,Meghan,Perdue,57218225588,Ana,Bell,57215551299,Ronisha,Carter,57748618700,Shigeru,Miyagawa,7201867694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,57200423109; 57188672704; 57188660776; 24831962300,Where are the Large N Studies in Education? Introducing a Dataset of Scientific Articles and NLP Techniques,2022,L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale,,,,461,465,4.0,0,10.1145/3491140.3528315,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132167951&doi=10.1145%2f3491140.3528315&partnerID=40&md5=9c4b75fb9916d072e4b278f833248a26,Conference paper,Final,,Scopus,2-s2.0-85132167951,Dragos,Corlatescu,57200423109,Stefan,Ruseti,57188672704,Irina,Toma,57188660776,Mihai,Dascalu,24831962300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,57221441140; 57217057617; 56801695800; 57747328100; 7003985614; 57748939000; 55286416400,Re-envisioning a K-12 Early Warning System with School Climate Factors,2022,L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale,,,,405,408,3.0,0,10.1145/3491140.3528670,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132202802&doi=10.1145%2f3491140.3528670&partnerID=40&md5=31f93d3d0338c16ee8e434581db08745,Conference paper,Final,,Scopus,2-s2.0-85132202802,Mengchen,Su,57221441140,Lukas A.,Olson,57217057617,Daniel C.,Jarratt,56801695800,Sashank,Varma,57747328100,Joseph A.,Konstan,7003985614,Rebecca J. L.,Keller,57748939000,Bodong,Chen,55286416400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,57211190131; 7101893707; 56912991300,LEDA: A Learning Analytics Based Framework to Analyze Remote Labs Interaction,2022,L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale,,,,379,383,4.0,2,10.1145/3491140.3528324,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132185029&doi=10.1145%2f3491140.3528324&partnerID=40&md5=23c876dd5650c7a3514f79804118e4d4,Conference paper,Final,,Scopus,2-s2.0-85132185029,Carinna Nunes,Tulha,57211190131,Marco Antonio G.,Carvalho,7101893707,Leandro N.,De Castro,56912991300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,57219751720; 57219173330; 57216694167; 57216690541; 57552608700; 57384627900; 57747325300; 57385551000; 57205750897,Using Chatbots to Teach Languages,2022,L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale,,,,451,455,4.0,3,10.1145/3491140.3528329,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132144277&doi=10.1145%2f3491140.3528329&partnerID=40&md5=2721491e069bf8ebea50bf304cd1a067,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85132144277,Yu,Li,57219751720,Chun-Yen,Chen,57219173330,Dian,Yu,57216694167,Sam,Davidson,57216690541,Ryan,Hou,57552608700,Xun,Yuan,57384627900,Yinghua,Tan,57747325300,Derek,Pham,57385551000,Zhou,Yu,57205750897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,57484393400; 35812109300; 57190941282,Collaboration at Scale: Exploring Member Role Changing Patterns in Collaborative Science Problem-solving Tasks,2022,L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale,,,,309,312,3.0,0,10.1145/3491140.3528319,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132176684&doi=10.1145%2f3491140.3528319&partnerID=40&md5=5dae2c475b4843bff0159fe1de29a29f,Conference paper,Final,,Scopus,2-s2.0-85132176684,Hui,Yang,57484393400,Nonye,Alozie,35812109300,Arif,Rachmatullah,57190941282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
