,First Author First Name,First Author Last Name,Paper Title,Year,Full Paper or WIP?,Session Name,Authors,Link_x,File Name,DOI,Original File Name,Author(s) ID,Title,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,Link_y,Document Type,Publication Stage,Open Access,Source,EID,Author 1 First Name,Author 1 Last Name,Author 1 ID,Author 2 First Name,Author 2 Last Name,Author 2 ID,Author 3 First Name,Author 3 Last Name,Author 3 ID,Author 4 First Name,Author 4 Last Name,Author 4 ID,Author 5 First Name,Author 5 Last Name,Author 5 ID,Author 6 First Name,Author 6 Last Name,Author 6 ID,Author 7 First Name,Author 7 Last Name,Author 7 ID,Author 8 First Name,Author 8 Last Name,Author 8 ID,Author 9 First Name,Author 9 Last Name,Author 9 ID,Author 10 First Name,Author 10 Last Name,Author 10 ID,Author 11 First Name,Author 11 Last Name,Author 11 ID,Author 12 First Name,Author 12 Last Name,Author 12 ID,Author 1 Affiliation,Author 1 Country,Author 2 Affiliation,Author 2 Country,Author 3 Affiliation,Author 3 Country,Author 4 Affiliation,Author 4 Country,Author 5 Affiliation,Author 5 Country,Author 6 Affiliation,Author 6 Country,Author 7 Affiliation,Author 7 Country,Author 8 Affiliation,Author 8 Country,Author 9 Affiliation,Author 9 Country,Author 10 Affiliation,Author 10 Country,Author 11 Affiliation,Author 11 Country,Author 12 Affiliation,Author 12 Country
0,Adam,Stankiewicz,$1 Conversational Turn Detector: Measuring How Video Conversations Affect Student Learning in Online Classes,2016,Full Paper,Learner Modelling,"Adam Stankiewicz, Chinmay Kulkarni",https://dl.acm.org/doi/pdf/10.1145/2876034.2876048,2016_$1 Conversational Turn Detector: Measuring How Video Conversations Affect Student Learning in Online Classes.pdf,10.1145/2876034.2876048,2876034.2876048.pdf,56259336500; 36651262600,$1 conversational turn detector: Measuring how video conversations affect student learning in online classes,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,81,88,7.0,5.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969962395&doi=10.1145%2f2876034.2876048&partnerID=40&md5=10d4b9068c2cb60084629c03ee06ec2a,Conference paper,Final,,Scopus,2-s2.0-84969962395,Adam,Stankiewicz,56259336500,Chinmay,Kulkarni,36651262600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carnegie Mellon University,United States,Google LLC,United States,,,,,,,,,,,,,,,,,,,,
1,Meen Chul,Kim,A Constructionist Toolkit for Learning Elementary Web Development at Scale,2016,WIP,Work in Progress,"Meen Chul Kim, Thomas H. Park, Brian Lee, Sukrit Chhabra, Andrea Forte",https://dl.acm.org/doi/pdf/10.1145/2876034.2893411,2016_A Constructionist Toolkit for Learning Elementary Web Development at Scale.pdf,10.1145/2876034.2893411,2876034.2893411.pdf,56227555000; 35273007300; 16744016300; 57189387209; 8897973100,A constructionist toolkit for learning elementary web development at scale,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,189,192,3.0,0.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969988984&doi=10.1145%2f2876034.2893411&partnerID=40&md5=5c2313fdda41aff72bac67f989ed2968,Conference paper,Final,,Scopus,2-s2.0-84969988984,Meen Chul,Kim,56227555000,Thomas H.,Park,35273007300,Brian,Lee,16744016300,Sukrit,Chhabra,57189387209,Andrea,Forte,8897973100,,,,,,,,,,,,,,,,,,,,,,The Children's Hospital of Philadelphia,United States,Codepip,United States,Karolinska Institutet,Sweden,Drexel University,United States,Drexel University,United States,,,,,,,,,,,,,,
2,Mohammad Hassan,Falakmasir,A Data-Driven Approach for Inferring Student Proficiency from Game Activity Logs,2016,Full Paper,Automated Assessment,"Mohammad Hassan Falakmasir, José P. González-Brenes, Geoffrey J. Gordon, Kristen E. DiCerbo",https://dl.acm.org/doi/pdf/10.1145/2876034.2876038,2016_A Data-Driven Approach for Inferring Student Proficiency from Game Activity Logs.pdf,10.1145/2876034.2876038,2876034.2876038.pdf,36469995900; 48561096600; 57203070987; 6603405804,A data-driven approach for inferring student proficiency from game activity logs,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,341,349,8.0,17.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969915345&doi=10.1145%2f2876034.2876038&partnerID=40&md5=62a4ae37cd1871ffa7dee86a53bf6cdc,Conference paper,Final,,Scopus,2-s2.0-84969915345,Mohammad H.,Falakmasir,36469995900,José P.,González-Brenes,48561096600,Geoffrey J.,Gordon,57203070987,Kristen E.,Dicerbo,6603405804,,,,,,,,,,,,,,,,,,,,,,,,,University of Pittsburgh,United States,"Chegg, Inc.",United States,Carnegie Mellon University,United States,Arizona State University,United States,,,,,,,,,,,,,,,,
3,Thushari,Atapattu,A Framework for Topic Generation and Labeling from MOOC Discussions,2016,WIP,Work in Progress,"Thushari Atapattu, Katrina Falkner",https://dl.acm.org/doi/pdf/10.1145/2876034.2893414,2016_A Framework for Topic Generation and Labeling from MOOC Discussions.pdf,10.1145/2876034.2893414,2876034.2893414.pdf,27567593400; 7004182688,A framework for topic generation and labeling from MOOC discussions,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,201,204,3.0,20.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969916317&doi=10.1145%2f2876034.2893414&partnerID=40&md5=74928cd2243e49d66c63ffd9d4d8fb78,Conference paper,Final,,Scopus,2-s2.0-84969916317,Thushari,Atapattu,27567593400,Katrina,Falkner,7004182688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The University of Adelaide,Australia,The University of Adelaide,Australia,,,,,,,,,,,,,,,,,,,,
4,Anna,Kasunic,"A Preliminary Look at MOOC-associated Facebook Groups: Prevalence, Geographic Representation, and Homophily",2016,WIP,Work in Progress,"Anna Kasunic, Jessica Hammer, Robert E. Kraut, Michael Massimi, Amy Ogan",https://dl.acm.org/doi/pdf/10.1145/2876034.2893415,"2016_A Preliminary Look at MOOC-associated Facebook Groups: Prevalence, Geographic Representation, and Homophily.pdf",10.1145/2876034.2893415,2876034.2893415.pdf,55632278700; 56597500700; 7005796597; 16031488000; 22433477900,"A preliminary look at MOOC-associated Facebook groups: Prevalence, geographic representation, and homophily",L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,205,208,3.0,4.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970004003&doi=10.1145%2f2876034.2893415&partnerID=40&md5=5ed91a85449b4c784504e47ef9ca03b5,Conference paper,Final,,Scopus,2-s2.0-84970004003,Anna,Kasunic,55632278700,Jessica,Hammer,56597500700,Robert,Kraut,7005796597,Michael,Massimi,16031488000,Amy,Ogan,22433477900,,,,,,,,,,,,,,,,,,,,,,Carnegie Mellon University,United States,Carnegie Mellon University,United States,Carnegie Mellon University,United States,"Facebook, Inc.",United States,Carnegie Mellon University,United States,,,,,,,,,,,,,,
5,Siddharth,Reddy,A Queueing Network Model for Spaced Repetition,2016,WIP,Work in Progress,"Siddharth Reddy, Igor Labutov, Siddhartha Banerjee",https://dl.acm.org/doi/pdf/10.1145/2876034.2893436,2016_A Queueing Network Model for Spaced Repetition.pdf,10.1145/2876034.2893436,2876034.2893436.pdf,57189382295; 24341027000; 35752984100,A queueing network model for spaced repetition,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,289,292,3.0,1.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969921456&doi=10.1145%2f2876034.2893436&partnerID=40&md5=cdd3dbb63ab1849d3c3ac9916e31c66e,Conference paper,Final,,Scopus,2-s2.0-84969921456,Siddharth,Reddy,57189382295,Igor,Labutov,24341027000,Siddhartha,Banerjee,35752984100,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cornell University,United States,Carnegie Mellon University,United States,Cornell University,United States,,,,,,,,,,,,,,,,,,
6,Nicholas,Lewkow,A Scalable Learning Analytics Platform for Automated Writing Feedback,2016,WIP,Work in Progress,"Nicholas Lewkow, Jacqueline L. Feild, Neil L. Zimmerman, Mark Riedesel, Alfred Essa, David Boulanger, Jeremie Seanosky, Vive Kumar, Kinshuk, Sandhya Kode",https://dl.acm.org/doi/pdf/10.1145/2876034.2893380,2016_A Scalable Learning Analytics Platform for Automated Writing Feedback.pdf,10.1145/2876034.2893380,2876034.2893380.pdf,55340451800; 57201722156; 57193766199; 57189377905; 55330044600; 56565054200; 56565652000; 57201621048; 36470543700,A scalable learning analytics platform for automated writing feedback,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,109,112,3.0,8.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970024952&doi=10.1145%2f2876034.2893380&partnerID=40&md5=4361258c6f90388246287833f4c52a95,Conference paper,Final,,Scopus,2-s2.0-84970024952,Nicholas,Lewkow,55340451800,Jacqueline,Feild,57201722156,Neil,Zimmerman,57193766199,Mark,Riedesel,57189377905,Alfred,Essa,55330044600,David,Boulanger,56565054200,Jeremie,Seanosky,56565652000,Vive Kumar,Kinshuk,57201621048,Sandhya,Kode,36470543700,,,,,,,,,,McGraw-Hill Education,United States,McGraw-Hill Education,United States,McGraw-Hill Education,United States,McGraw-Hill Education,United States,Carnegie Mellon University,United States,Athabasca University,Canada,Athabasca University,Canada,Athabasca University,Canada,"International Institute of Information Technology, Hyderabad",India,,,,,,
7,Douglas,Selent,ASSISTments Dataset from Multiple Randomized Controlled Experiments,2016,WIP,Work in Progress,"Douglas Selent, Thanaporn Patikorn, Neil T. Heffernan",https://dl.acm.org/doi/pdf/10.1145/2876034.2893409,2016_ASSISTments Dataset from Multiple Randomized Controlled Experiments.pdf,10.1145/2876034.2893409,2876034.2893409.pdf,56335563500; 57189378994; 14041775100,ASSIStments dataset from multiple randomized controlled experiments,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,181,184,3.0,17.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969940792&doi=10.1145%2f2876034.2893409&partnerID=40&md5=6a942eee7d390d262de1ef9437e35e55,Conference paper,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-84969940792,Douglas,Selent,56335563500,Thanaporn,Patikorn,57189378994,Neil,Heffernan,14041775100,,,,,,,,,,,,,,,,,,,,,,,,,,,,Worcester Polytechnic Institute,United States,Worcester Polytechnic Institute,United States,Worcester Polytechnic Institute,United States,,,,,,,,,,,,,,,,,,
8,Joseph Jay,Williams,AXIS: Generating Explanations at Scale with Learnersourcing and Machine Learning,2016,Full Paper,Flipped Session - Crowdsourcing the Feedback,"Joseph Jay Williams, Juho Kim, Anna N. Rafferty, Samuel G. Maldonado, Krzysztof Z. Gajos, Walter S. Lasecki, Neil T. Heffernan",https://dl.acm.org/doi/pdf/10.1145/2876034.2876042,2016_AXIS: Generating Explanations at Scale with Learnersourcing and Machine Learning.pdf,10.1145/2876034.2876042,2876034.2876042.pdf,56159570600; 58305788800; 42361506800; 56159955100; 8375653300; 54383728900; 14041775100,AXIS: Generating explanations at scale with learnersourcing and machine learning,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,379,388,9.0,106.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970021654&doi=10.1145%2f2876034.2876042&partnerID=40&md5=358a5e6eff5bb11eccd276943571b0b2,Conference paper,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-84970021654,Joseph Jay,Williams,56159570600,Juho,Kim,58305788800,Anna,Rafferty,42361506800,Samuel,Maldonado,56159955100,Krzysztof Z.,Gajos,8375653300,Walter S.,Lasecki,54383728900,Neil,Heffernan,14041775100,,,,,,,,,,,,,,,,National University of Singapore,Singapore,Korea Advanced Institute of Science and Technology,South Korea,"Carleton College, USA",United States,San Jose State University,United States,Harvard John A. Paulson School of Engineering and Applied Sciences,United States,"University of Michigan, Ann Arbor",United States,Worcester Polytechnic Institute,United States,,,,,,,,,,
9,Chase,Geigle,An Exploration of Automated Grading of Complex Assignments,2016,Full Paper,Automated Assessment,"Chase Geigle, ChengXiang Zhai, Duncan C. Ferguson",https://dl.acm.org/doi/pdf/10.1145/2876034.2876049,2016_An Exploration of Automated Grading of Complex Assignments.pdf,10.1145/2876034.2876049,2876034.2876049.pdf,55637377400; 35232046000; 7402014469,An exploration of automated grading of complex assignments,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,351,360,9.0,15.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969988668&doi=10.1145%2f2876034.2876049&partnerID=40&md5=8ca6534889e4b3589515189e48f9af45,Conference paper,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-84969988668,Chase,Geigle,55637377400,Chengxiang,Zhai,35232046000,Duncan,Ferguson,7402014469,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Illinois Urbana-Champaign,United States,University of Illinois Urbana-Champaign,United States,University of Illinois Urbana-Champaign,United States,,,,,,,,,,,,,,,,,,
