eid,orcid,surname,initials,givenname,affiliation,documents,affiliation_id,city,country,areas,au_id
9-s2.0-57203238151,,Gillet,D.,Denis,Ecole Polytechnique Fédérale de Lausanne,316,60028186,Lausanne,Switzerland,COMP (291); ENGI (165); SOCI (88),57203238151
9-s2.0-7003469397,,Starner,T.E.,Thad E.,Georgia Institute of Technology,258,60019647,Atlanta,United States,COMP (550); ENGI (75); MATH (17),7003469397
9-s2.0-24831962300,0000-0002-4815-9227,Dascalu,M.,Mihai,University Politehnica of Bucharest,239,60003161,Bucharest,United States,COMP (332); MATH (118); SOCI (65),24831962300
9-s2.0-7003985614,,Konstan,J.A.,Joseph A.,University of Minnesota Twin Cities,180,60029445,Minneapolis,United States,COMP (292); ENGI (31); SOCI (22),7003985614
9-s2.0-56912991300,0000-0003-3409-4589,de Castro,L.N.,L. N.,Universidade Estadual de Campinas,172,60029570,Campinas,Brazil,COMP (245); MATH (87); ENGI (50),56912991300
9-s2.0-57205750897,,Yu,Z.,Zhou,Columbia University,109,60030162,New York,United States,COMP (219); SOCI (32); ARTS (22),57205750897
9-s2.0-6602498748,,Arriaga,R.I.,Rosa Isela,Georgia Institute of Technology,94,60019647,Atlanta,United States,COMP (167); MEDI (24); SOCI (13),6602498748
9-s2.0-7004272320,,Salzmann,C.,Christophe,Ecole Polytechnique Fédérale de Lausanne,71,60028186,Lausanne,Switzerland,ENGI (64); COMP (58); SOCI (26),7004272320
9-s2.0-55286416400,0000-0003-4616-4353,Chen,B.,Bodong,University of Minnesota Twin Cities,63,60029445,Minneapolis,United States,COMP (97); SOCI (43); PSYC (2),55286416400
9-s2.0-57188672704,,Rușeți,Ș.,Ștefan,University Politehnica of Bucharest,59,60003161,Bucharest,United States,COMP (83); MATH (32); SOCI (14),57188672704
9-s2.0-55918790500,,Hernández-Rizzardini,R.,Rocael,Universidad Galileo,57,60257187,Guatemala City,Guatemala,COMP (80); MATH (21); SOCI (19),55918790500
9-s2.0-57190941282,0000-0003-0993-0477,Rachmatullah,A.,A.,SRI International,49,60000461,Menlo Park,United States,SOCI (44); COMP (12); BUSI (4),57190941282
9-s2.0-52663094800,0000-0002-3028-234X,Amado-Salvatierra,H.R.,Héctor R.,Universidad Galileo,49,60257187,Guatemala City,Guatemala,COMP (67); SOCI (18); MATH (12),52663094800
9-s2.0-7201867694,,Miyagawa,S.,Shigeru,Universidade de São Paulo,33,60008088,Sao Paulo,Brazil,SOCI (29); ARTS (22); PSYC (7),7201867694
9-s2.0-7101893707,,De Carvalho,M.A.G.,Marco Antônio Garcia,Universidade Estadual de Campinas,33,60029570,Campinas,Brazil,COMP (60); ENGI (8); MATH (6),7101893707
9-s2.0-35184076100,,Sharrock,R.,Rémi,Télécom Paris,21,60029116,Palaiseau,France,COMP (37); ENGI (5); MATH (3),35184076100
