Paper Title,Year,Full Paper or WIP?,Session Name,"Context: MOOCs, In-person degrees, Online degrees, K-12, Informal learning environments, Other (specify in 1-2 words in Context Notes)",Context Notes,"Subject: CS, Non-CS STEM, Non-STEM (specify in 1-2 words in Subject Notes), Unspecified",Subject Notes,"AI/ML Applications in Education? (Enter ""Y"" or ""N"")",Similarity Score,Matched Title
Student skill and goal achievement in the mapping with google MOOC,2014,Full Paper,Student Skills and behavior,,,,,,100,Student skill and goal achievement in the mapping with google MOOC
Correlating Skill and Improvement in 2 MOOCs with a Student’s Time on Tasks,2014,Full Paper,Student Skills and behavior,,,,,,92,Correlating skill and improvement in 2 MOOCs with a student's time on tasks
Demographic differences in how students navigate through MOOCs,2014,Full Paper,Student Skills and behavior,,,,,,100,Demographic differences in how students navigate through MOOCs
Understanding in-video dropouts and interaction peaks inonline lecture videos,2014,Full Paper,Course materials,,,,,,99,Understanding in-video dropouts and interaction peaks in online lecture videos
How video production affects student engagement: an empirical study of MOOC videos,2014,Full Paper,Course materials,,,,,,99,How video production affects student engagement: An empirical study of MOOC videos
Hint systems may negatively impact performance in educational games,2014,Full Paper,Course materials,,,,,,100,Hint systems may negatively impact performance in educational games
Teaching recommender systems at large scale: evaluation and lessons learned from a hybrid MOOC,2014,Full Paper,The role of the instructor,,,,,,99,Teaching recommender systems at large scale: Evaluation and lessons learned from a hybrid MOOC
Do professors matter?: using an a/b test to evaluate the impact of instructor involvement on MOOC student outcomes,2014,Full Paper,The role of the instructor,,,,,,97,Do professors matter? Using an A/B test to evaluate the impact of instructor involvement on MOOC student outcomes
Monitoring MOOCs: which information sources do instructors value?,2014,Full Paper,The role of the instructor,,,,,,98,Monitoring MOOCs: Which information sources do instructors value?
Divide and correct: using clusters to grade short answers at scale,2014,Full Paper,Assessment,,,,,,98,Divide and correct: Using clusters to grade short answers at scale
Scaling short-answer grading by combining peer assessment with algorithmic scoring,2014,Full Paper,Assessment,,,,,,100,Scaling short-answer grading by combining peer assessment with algorithmic scoring
Self-evaluation in advanced power searching and mapping with google MOOCs,2014,Full Paper,Assessment,,,,,,100,Self-evaluation in advanced power searching and mapping with google MOOCs
Superposter behavior in MOOC forums,2014,Full Paper,Forums and chat rooms,,,,,,100,Superposter behavior in MOOC forums
Chatrooms in MOOCs: all talk and no action,2014,Full Paper,Forums and chat rooms,,,,,,98,Chatrooms in MOOCs: All talk and no action
Effective Sampling for Large-scale Automated Writing Evaluation Systems,2015,Full Paper,Analysis,,,,,,92,Effective sampling for large-scale automated writing evaluation systems
Improving Student Modeling Through Partial Credit and Problem Difficulty,2015,Full Paper,Analysis,,,,,,90,Improving student modeling through partial credit and problem difficulty
Addressing Common Analytic Challenges to Randomized Experiments in MOOCs: Attrition and Zero-Inflation,2015,Full Paper,Analysis,,,,,,93,Addressing common analytic challenges to randomized experiments in MOOCs: Attrition and zero-inflation
Structure and messaging techniques for online peer learning systems that increase stickiness,2015,Full Paper,Analysis,,,,,,100,Structure and messaging techniques for online peer learning systems that increase stickiness
The Prediction of Student First Response Using Prerequisite Skills,2015,Full Paper,Behavior 1,,,,,,89,The prediction of student first response using prerequisite skills
Blended Learning in Indian Colleges with Massively Empowered Classroom,2015,Full Paper,Behavior 1,,,,,,93,Blended learning in Indian colleges with massively empowered classroom
Attrition and Achievement Gaps in Online Learning,2015,Full Paper,Behavior 1,,,,,,92,Attrition and achievement gaps in online learning
Towards Detecting Wheel-Spinning: Future Failure in Mastery Learning,2015,Full Paper,Behavior 1,,,,,,91,Towards detecting wheel-spinning: Future failure in mastery learning
PeerStudio: Rapid Peer Feedback Emphasizes Revision and Improves Performance,2015,Full Paper,Behavior 2,,,,,,92,PeerStudio: Rapid peer feedback emphasizes revision and improves performance
Alumni & Tenured Participants in MOOCs: Analysis of Two Years of MOOC Discussion Channel Activity,2015,Full Paper,Behavior 2,,,,,,94,Alumni & Tenured participants in MOOCs: Analysis of two years of MOOC discussion channel activity
A Playful Game Changer: Fostering Student Retention in Online Education with Social Gamification,2015,Full Paper,Behavior 2,,,,,,91,A playful game changer: Fostering student retention in online education with social gamification
moocRP: An Open-source Analytics Platform,2015,Full Paper,Behavior 2,,,,,,90,MoocRP: An open-source analytics platform
Learning is Not a Spectator Sport: Doing is Better than Watching for Learning from a MOOC,2015,Full Paper,Learning,,,,,,93,Learning is not a spectator sport: Doing is better than watching for learning from a MOOC
